,Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost,zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone,Factory,Factory_lng,Factory_lat,isFactory,distance
0,282.0,US-2021-128055-CHO-TRI-54000,2021-03-31,2026-09-26,Standard Class,128055.0,United States,San Francisco,California,94122,Chocolate,Pacific,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2.0,4.9,2.6,94122,37.76113,-122.48433,San Francisco,CA,California,True,,59453.0,7047.4,6075.0,San Francisco,"{""06075"": 100}",San Francisco,06075,False,False,America/Los_Angeles,Wicked Choccy's,-81.088371,32.076176,False,3795.656145167492
1,288.0,US-2021-128055-CHO-SCR-58000,2021-03-31,2026-09-26,Standard Class,128055.0,United States,San Francisco,California,94122,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,7.2,2.0,5.0,2.2,94122,37.76113,-122.48433,San Francisco,CA,California,True,,59453.0,7047.4,6075.0,San Francisco,"{""06075"": 100}",San Francisco,06075,False,False,America/Los_Angeles,Lot's O' Nuts,-111.768036,32.881893,False,1112.3258635525822
2,1132.0,US-2021-138100-CHO-FUD-51000,2021-09-15,2027-03-13,Standard Class,138100.0,United States,New York City,New York,10011,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2.0,4.8,2.4,10011,40.74173,-74.00037,New York,NY,New York,True,,50772.0,30272.6,36061.0,New York,"{""36061"": 100}",New York,36061,False,False,America/New_York,Lot's O' Nuts,-111.768036,32.881893,False,3445.3230581775415
3,1133.0,US-2021-138100-CHO-MIL-31000,2021-09-15,2027-03-13,Standard Class,138100.0,United States,New York City,New York,10011,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3.0,6.33,3.42,10011,40.74173,-74.00037,New York,NY,New York,True,,50772.0,30272.6,36061.0,New York,"{""36061"": 100}",New York,36061,False,False,America/New_York,Wicked Choccy's,-81.088371,32.076176,False,1152.6481543546647
4,3396.0,US-2022-121391-CHO-MIL-31000,2022-10-04,2028-03-29,First Class,121391.0,United States,San Francisco,California,94109,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2.0,4.22,2.28,94109,37.79334,-122.42138,San Francisco,CA,California,True,,56333.0,20163.9,6075.0,San Francisco,"{""06075"": 100}",San Francisco,06075,False,False,America/Los_Angeles,Wicked Choccy's,-81.088371,32.076176,False,3789.9389544828923
5,4370.0,US-2023-103982-CHO-SCR-58000,2023-03-03,2028-08-28,Standard Class,103982.0,United States,Round Rock,Texas,78664,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,3.6,1.0,2.5,1.1,78664,30.50461,-97.64583,Round Rock,TX,Texas,True,,62168.0,1444.9,48491.0,Williamson,"{""48491"": 85.62, ""48453"": 14.38}",Williamson|Travis,48491|48453,False,False,America/Chicago,Lot's O' Nuts,-111.768036,32.881893,False,1360.917039737483
6,4373.0,US-2023-103982-CHO-NUT-13000,2023-03-03,2028-08-28,Standard Class,103982.0,United States,Round Rock,Texas,78664,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3.0,7.47,3.0,78664,30.50461,-97.64583,Round Rock,TX,Texas,True,,62168.0,1444.9,48491.0,Williamson,"{""48491"": 85.62, ""48453"": 14.38}",Williamson|Travis,48491|48453,False,False,America/Chicago,Lot's O' Nuts,-111.768036,32.881893,False,1360.917039737483
7,4375.0,US-2023-103982-CHO-FUD-51000,2023-03-03,2028-08-28,Standard Class,103982.0,United States,Round Rock,Texas,78664,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,25.2,7.0,16.8,8.4,78664,30.50461,-97.64583,Round Rock,TX,Texas,True,,62168.0,1444.9,48491.0,Williamson,"{""48491"": 85.62, ""48453"": 14.38}",Williamson|Travis,48491|48453,False,False,America/Chicago,Lot's O' Nuts,-111.768036,32.881893,False,1360.917039737483
8,4377.0,US-2023-103982-CHO-MIL-31000,2023-03-03,2028-08-28,Standard Class,103982.0,United States,Round Rock,Texas,78664,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3.0,6.33,3.42,78664,30.50461,-97.64583,Round Rock,TX,Texas,True,,62168.0,1444.9,48491.0,Williamson,"{""48491"": 85.62, ""48453"": 14.38}",Williamson|Travis,48491|48453,False,False,America/Chicago,Wicked Choccy's,-81.088371,32.076176,False,1581.4044321895187
9,8005.0,US-2024-147039-CHO-NUT-13000,2024-06-29,2029-12-25,Standard Class,147039.0,United States,Minneapolis,Minnesota,55407,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3.0,7.47,3.0,55407,44.93484,-93.25263,Minneapolis,MN,Minnesota,True,,36997.0,3558.4,27053.0,Hennepin,"{""27053"": 100}",Hennepin,27053,False,False,America/Chicago,Lot's O' Nuts,-111.768036,32.881893,False,2079.88972753304
